team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
10,/team/10/manchester-city/240002,24,2,2023-09-22,Manchester City,13,Premier League,1,14,England,85,87,86,83,455361,Etihad Stadium,11,10,10.0,,4600000000.0,26.91,25.14,188377,237692,246191,246191,237692,239085.0,246191.0,237692.0,Press after possession loss,71,61,,,,,,Balanced,Balanced,81,6,3,3,,,,,,,,
243,/team/243/real-madrid/240002,24,2,2023-09-22,Real Madrid,53,La Liga,1,45,Spain,85,85,85,83,455800,Estadio Santiago Bernabéu,241,10,10.0,,4800000000.0,25.91,24.52,204963,197445,197445,239053,197445,243812.0,239053.0,239053.0,Balanced,51,71,,,,,,Balanced,Balanced,51,6,3,3,,,,,,,,
1318,/team/1318/england/240002,24,2,2023-09-22,England,78,Friendly International,,14,England,85,86,83,83,474589,Wembley Stadium,1337,8,,,,27.45,26.62,202126,205988,202126,205988,205988,202126.0,205988.0,205988.0,Press after possession loss,61,61,,,,,,Slow build up,Possession,81,4,3,3,,,,,,,,
21,/team/21/fc-bayern-munchen/240002,24,2,2023-09-22,FC Bayern München,19,Bundesliga,1,21,Germany,84,90,84,83,523937,Sanderson Park (FIFA 13 NEW generic),22,9,10.0,,3800000000.0,26.09,25.84,212622,222492,212622,212622,222492,202126.0,212622.0,222492.0,Pressure on heavy touch,51,81,,,,,,Slow build up,Possession,71,8,3,3,,,,,,,,
241,/team/241/fc-barcelona/240002,24,2,2023-09-22,FC Barcelona,53,La Liga,1,45,Spain,84,84,84,83,184942,El Libertador (La Bombastico),243,10,10.0,,4300000000.0,27.0,23.94,192448,188545,186942,188545,233419,188545.0,228702.0,233419.0,Balanced,61,81,,,,,,Slow build up,Possession,51,7,3,3,,,,,,,,
1335,/team/1335/france/240002,24,2,2023-09-22,France,78,Friendly International,,18,France,84,85,85,83,474616,Orange Vélodrome,1343,10,,,,26.73,25.77,231747,194765,194765,194765,194765,231747.0,194765.0,194765.0,Balanced,71,61,,,,,,Balanced,Balanced,71,5,3,3,,,,,,,,
1337,/team/1337/germany/240002,24,2,2023-09-22,Germany,78,Friendly International,,21,Germany,84,84,83,83,37352367,Red Bull Arena (Leipzig),1318,10,,,,28.18,26.81,212622,212622,212622,212622,212622,186942.0,212622.0,212622.0,Pressure on heavy touch,61,61,,,,,,Fast build up,Forward runs,61,6,3,3,,,,,,,,
1354,/team/1354/portugal/240002,24,2,2023-09-22,Portugal,78,Friendly International,,38,Portugal,84,86,84,83,474796,Estádio da Luz,1362,8,,,,28.82,27.04,20801,20801,212198,20801,20801,20801.0,212198.0,212198.0,Balanced,41,51,,,,,,Balanced,Balanced,41,3,3,3,,,,,,,,
9,/team/9/liverpool/240002,24,2,2023-09-22,Liverpool,13,Premier League,1,14,England,83,84,82,84,455353,Anfield,11,9,9.0,,4600000000.0,26.82,24.25,203376,231281,231281,231281,231281,209331.0,216267.0,231281.0,Press after possession loss,61,71,,,,,,Balanced,Balanced,71,5,3,3,,,,,,,,
73,/team/73/paris-saint-germain/240002,24,2,2023-09-22,Paris Saint Germain,16,Ligue 1,1,18,France,83,86,79,83,523959,Parc des Princes,219,9,10.0,,4200000000.0,24.36,24.63,207865,231747,231747,231747,231443,231747.0,231443.0,231443.0,Press after possession loss,51,71,,,,,,Slow build up,Possession,51,5,3,3,,,,,,,,
240,/team/240/atletico-madrid/240002,24,2,2023-09-22,Atlético Madrid,53,La Liga,1,45,Spain,83,85,82,81,452946,Wanda Metropolitano,243,9,9.0,,1200000000.0,29.73,26.3,193747,194765,193747,194765,194765,194765.0,194765.0,194765.0,Pressure on heavy touch,61,61,,,,,,Balanced,Balanced,51,3,3,3,,,,,,,,
1343,/team/1343/italy/240002,24,2,2023-09-22,Italy,78,Friendly International,,27,Italy,83,82,83,82,523897,Stadion Olympik,1335,9,,,,26.91,25.85,192387,241096,241096,241096,241096,192387.0,241096.0,241096.0,Pressure on heavy touch,51,51,,,,,,Balanced,Balanced,61,3,3,3,,,,,,,,
1362,/team/1362/spain/240002,24,2,2023-09-22,Spain,78,Friendly International,,45,Spain,83,82,85,82,37354677,Wanda Metropolitano,1343,9,,,,26.45,26.15,201153,220834,220834,220834,220834,201153.0,220834.0,220834.0,Pressure on heavy touch,61,71,,,,,,Slow build up,Possession,71,7,3,3,,,,,,,,
1369,/team/1369/argentina/240002,24,2,2023-09-22,Argentina,78,Friendly International,,52,Argentina,83,85,83,83,127611,La Bombonera,1337,9,,,,28.64,27.96,158023,158023,158023,158023,158023,158023.0,158023.0,158023.0,Balanced,41,51,,,,,,Slow build up,Possession,41,6,3,3,,,,,,,,
1,/team/1/arsenal/240002,24,2,2023-09-22,Arsenal,13,Premier League,1,14,England,82,82,84,81,307,Emirates Stadium,18,7,8.0,,2100000000.0,23.82,23.81,222665,222665,222665,222665,222665,246669.0,251566.0,246669.0,Press after possession loss,51,61,,,,,,Slow build up,Possession,61,6,3,3,,,,,,,,
11,/team/11/manchester-united/240002,24,2,2023-09-22,Manchester United,13,Premier League,1,14,England,82,82,83,80,456113,Old Trafford,9,8,9.0,,4800000000.0,26.73,25.03,212198,212198,212198,212198,212198,212198.0,212198.0,212198.0,Pressure on heavy touch,71,71,,,,,,Slow build up,Possession,71,4,3,3,,,,,,,,
44,/team/44/inter/240002,24,2,2023-09-22,Inter,31,Serie A,1,27,Italy,82,81,82,82,128160,San Siro,47,8,10.0,,1000000000.0,28.45,28.04,231478,208128,208128,208128,208128,208128.0,208128.0,208128.0,Balanced,51,61,,,,,,Fast build up,Forward runs,51,4,3,3,,,,,,,,
